Date,Tweets,S/N,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
07/06/2024,We made it! Thank you BORN IN THE WILD OUT NOW,1,2447,1,2024-10-01T10:26:46.120853Z,5337,30.214,Normal,2024-10-01T10:26:46.120853Z
26/07/2024,"Miami, thank you!",2,2448,1,2024-10-01T10:26:50.470999Z,5338,0.814,Normal,2024-10-01T10:26:50.470999Z
25/08/2024,It’s officially “I will wait” now though I just thought it was funny af,3,2449,1,2024-10-01T10:26:59.073373Z,5339,5.405,Normal,2024-10-01T10:26:59.073373Z
27/08/2024,You’re too fine!??????,4,2450,1,2024-10-01T10:27:04.635462Z,5340,2.553,Normal,2024-10-01T10:27:04.635462Z
25/08/2024,Maybe now it’s time for me to confess that it was always “I won’t wait for you” but I sang it in a British accent ?? so it came out as “wun” ??,5,2451,1,2024-10-01T10:27:16.405559Z,5341,5.416,Normal,2024-10-01T10:27:16.405559Z
21/08/2024,"Very Mindful, Very Tems, Very ESSENCE?",6,2452,1,2024-10-01T10:27:21.063786Z,5342,1.467,Normal,2024-10-01T10:27:21.063786Z
20/08/2024,US TOUR begins Thursday!! See you soon Miami!!????????,7,2453,1,2024-10-01T10:27:24.514601Z,5343,0.659,Normal,2024-10-01T10:27:24.514601Z
01/08/2024,"Out of respect for the on going protest at home????, I have decided to postpone the release of Burning music video. Praying for the safety of those outside at this time. 
May the voice of the people be heard?????",8,2454,1,2024-10-01T10:27:30.783460Z,5344,3.344,Normal,2024-10-01T10:27:30.783460Z
21/07/2024,I’m so excited to be in Barbados!!! ????????????,9,2455,1,2024-10-01T10:27:37.418731Z,5345,0.736,Normal,2024-10-01T10:27:37.418731Z
12/07/2024,Until next time Germany! ?????,10,2456,1,2024-10-01T10:27:41.089165Z,5346,0.623,Normal,2024-10-01T10:27:41.089165Z
07/07/2024,Oslo! I love you ???????,11,2457,1,2024-10-01T10:27:45.333977Z,5347,0.758,Normal,2024-10-01T10:27:45.333977Z
02/07/2024,HE HE HE HE HE HE!!,12,2458,1,2024-10-01T10:27:49.404517Z,5348,0.841,Normal,2024-10-01T10:27:49.404517Z
21/06/2024,"Thank you for having me boo, I had the best time!!????",13,2459,1,2024-10-01T10:27:52.935728Z,5349,0.601,Normal,2024-10-01T10:27:52.935728Z
19/06/2024,"
LV Level 10 ?????",14,2460,1,2024-10-01T10:27:56.406843Z,5350,0.664,Normal,2024-10-01T10:27:56.406843Z
16/06/2024,"
Girl oh Girl ????????????",15,2461,1,2024-10-01T10:27:59.949562Z,5351,0.523,Normal,2024-10-01T10:27:59.949562Z
15/06/2024,"
FLOMAR!! I LOVE YOU?????????????????",16,2462,1,2024-10-01T10:28:02.944847Z,5352,0.556,Normal,2024-10-01T10:28:02.944847Z
14/06/2024,"
Wickedest! ??????????",17,2463,1,2024-10-01T10:28:06.363710Z,5353,0.493,Normal,2024-10-01T10:28:06.363710Z
14/06/2024,"
Sometimes I want to Strangle youuu??",18,2464,1,2024-10-01T10:28:10.060219Z,5354,0.632,Offensive,2024-10-01T10:28:10.060219Z
12/06/2024,"
Day 1- LONDON ??",19,2465,1,2024-10-01T10:28:13.754442Z,5355,0.572,Normal,2024-10-01T10:28:13.754442Z
10/06/2024,"
BURNING…???????????????",20,2466,1,2024-10-01T10:28:17.053573Z,5356,0.555,Normal,2024-10-01T10:28:17.053573Z
10/06/2024,"
What’s songs are the Gang feeling for the shows? I wanna knowww????????",21,2467,1,2024-10-01T10:28:22.106784Z,5357,0.8,Normal,2024-10-01T10:28:22.106784Z
10/06/2024,"
They really got me performing on my birthday??????????????
Spending it with all of you tomorrow!??",22,2468,1,2024-10-01T10:28:25.679343Z,5358,0.861,Normal,2024-10-01T10:28:25.679343Z
07/06/2024,"
GANGSTA- Track 8 #Borninthewild ??",23,2469,1,2024-10-01T10:28:29.407315Z,5359,0.936,Normal,2024-10-01T10:28:29.407315Z
07/06/2024,FRR!! Thank you so much baby girl!!,24,2470,1,2024-10-01T10:28:33.519370Z,5360,0.988,Normal,2024-10-01T10:28:33.519370Z
06/06/2024,Last day at the No album waiting roommm,26,2472,1,2024-10-01T10:28:40.380893Z,5362,0.563,Normal,2024-10-01T10:28:40.380893Z
02/06/2024,"

Really enjoyed hanging out with you girl??
Love you too! Thank you???????????",27,2473,1,2024-10-01T10:28:43.742726Z,5363,0.49,Normal,2024-10-01T10:28:43.742726Z
01/06/2024,"
@korty_EO
I cant remember a single thing ??????. if you hear anything crazy, it’s not me it’s my clone!!",28,2474,1,2024-10-01T10:28:48.175873Z,5364,1.274,Normal,2024-10-01T10:28:48.175873Z
01/06/2024,Don’t fold!! I love it,30,2476,1,2024-10-01T10:28:56.613350Z,5366,0.683,Normal,2024-10-01T10:28:56.613350Z
31/05/2024,"
A Starrrr indeed! it’s INCREDIBLE!
Congratulations sweetest girl!! 
@ayrastarr

“I don fall in loveee”????????????",31,2477,1,2024-10-01T10:28:59.961307Z,5367,0.621,Normal,2024-10-01T10:28:59.961307Z
24/05/2024,"
@ameliadimz
took me on a date and I really enjoyed myself ??????? Chicken shop date out now????",32,2478,1,2024-10-01T10:29:04.207066Z,5368,1.12,Normal,2024-10-01T10:29:04.207066Z
23/05/2024,"
It only works if you trust God wholeheartedly. #BORNINTHEWILD???",33,2479,1,2024-10-01T10:29:08.429672Z,5369,0.918,Normal,2024-10-01T10:29:08.429672Z
23/05/2024,"
Had to borrow my mums office clothes??
The shoe??????????????",34,2480,1,2024-10-01T10:29:11.948897Z,5370,0.555,Normal,2024-10-01T10:29:11.948897Z
16/05/2024,"
My first child. Look at you now",35,2481,1,2024-10-01T10:29:15.442311Z,5371,0.637,Normal,2024-10-01T10:29:15.442311Z
10/05/2024,"

Omg this made my day! Miss ma’am!!Imma need to send names to 
@IAmDonawon
right now. 3 tix for you! Love you??????
See you real soon",36,2482,1,2024-10-01T10:29:20.983867Z,5372,2.168,Normal,2024-10-01T10:29:20.983867Z
10/05/2024,"
This is my most special moment. Everything I have I put into this. Thank you all so much for believing in me. 
BORN IN THE WILD. JUNE 7th ??????",37,2483,1,2024-10-01T10:29:24.254313Z,5373,0.698,Normal,2024-10-01T10:29:24.254313Z
09/05/2024,"
God is the Greatest.",38,2484,1,2024-10-01T10:29:28.065894Z,5374,0.606,Normal,2024-10-01T10:29:28.065894Z
09/05/2024,"May 9 
This might be the greatest thing I ever did. Might be the last thing. Whatever happens I accept. 
Thank you to everyone that still believes in me. For being patient. I’m thinking of you. I’m only coming for mine and nothing else?????",39,2485,1,2024-10-01T10:29:41.800064Z,5375,0.673,Normal,2024-10-01T10:29:41.800064Z
09/05/2024,"
Finally learning to trust with this my coconut head?",40,2486,1,2024-10-01T10:29:48.871053Z,5376,4.281,Normal,2024-10-01T10:29:48.871053Z
04/05/2024,"

Tbh the responses for Love me Jeje have been shocking!! Im feeling so much love I didn’t expect for this song. I’m so excited for this albummm!!?????????",41,2487,1,2024-10-01T10:29:52.806415Z,5377,1.146,Normal,2024-10-01T10:29:52.806415Z
04/05/2024,"
Beautiful!!!???????????????",42,2488,1,2024-10-01T10:29:56.051678Z,5378,0.628,Normal,2024-10-01T10:29:56.051678Z
03/05/2024,"
LOVE ME JEJE OFFICIAL VIDEO OUT NOW ????? ??",43,2489,1,2024-10-01T10:29:59.351163Z,5379,0.759,Normal,2024-10-01T10:29:59.351163Z
02/05/2024,"
Damn I look like that fr??",44,2490,1,2024-10-01T10:30:02.994078Z,5380,0.732,Normal,2024-10-01T10:30:02.994078Z
29/04/2024,"
I’M ON YOUR WAVE RIGHT NOWWW??",45,2491,1,2024-10-01T10:30:06.662569Z,5381,0.487,Normal,2024-10-01T10:30:06.662569Z
15/04/2024,"
Coachella! I’m too exciteddd
I have a surprise tonight ???????",46,2492,1,2024-10-01T10:30:10.838532Z,5382,0.692,Normal,2024-10-01T10:30:10.838532Z
22/03/2024,"
CONGRATULATIONS SUPERSTAR!!! 
Da HEAT OFF THIS??!Sheeesh?????????",47,2493,1,2024-10-01T10:30:17.702425Z,5383,0.667,Normal,2024-10-01T10:30:17.702425Z
20/01/2024,"
On est Là?",48,2494,1,2024-10-01T10:30:21.771649Z,5384,0.787,Normal,2024-10-01T10:30:21.771649Z
19/01/2024,"

It is well.",49,2495,1,2024-10-01T10:30:26.775982Z,5385,0.625,Normal,2024-10-01T10:30:26.775982Z
17/01/2024,"
Coachella’24 ???????",50,2496,1,2024-10-01T10:30:31.264072Z,5386,0.811,Normal,2024-10-01T10:30:31.264072Z
19/01/2024,"
I LOVE THIS STORY. Look at the phrasing. Magnificent.",51,2497,1,2024-10-01T10:30:36.120690Z,5387,0.693,Normal,2024-10-01T10:30:36.120690Z
05/01/2024,"

So cute!??",52,2498,1,2024-10-01T10:30:41.577563Z,5388,0.682,Normal,2024-10-01T10:30:41.577563Z
05/01/2024,"

Celebrating all my wins this year, doing my little dance for everything, big, small, up and down. Cuz Jesus has done so much for my life. All glory to the Most High????",53,2499,1,2024-10-01T10:34:54.369006Z,5389,2.286,Normal,2024-10-01T10:35:09.013916Z
02/01/2024,"
HAPPY NEW YEAR?????",54,2500,1,2024-10-01T10:35:01.973950Z,5390,5.132,Normal,2024-10-01T10:35:01.973950Z
31/12/2024,Bruh Why am I excited I don’t even know. Thank you Lord!,55,2501,1,2024-10-01T10:35:14.331587Z,5391,1.05,Normal,2024-10-01T10:35:14.331587Z
31/12/2024,"
All these games I’m done playing.",56,2502,1,2024-10-01T10:35:22.365396Z,5392,9.253,Normal,2024-10-01T10:35:34.686359Z
31/12/2024,"
Lessons all through this year. Lessons on Lessons that have turned into blessings.",57,2503,1,2024-10-01T10:35:48.451016Z,5393,3.051,Normal,2024-10-01T10:35:48.451016Z
12/12/2024,"
Going live now in Lagos on 
@THEBEAT999FM
. Also live on my IG so Tune in!!???",58,2504,1,2024-10-01T10:36:04.139088Z,5394,1.74,Normal,2024-10-01T10:36:04.139088Z
11/12/2024,"
Feeling blessed to be home!!?????",59,2505,1,2024-10-01T10:36:11.030155Z,5395,0.808,Normal,2024-10-01T10:36:11.030155Z
09/12/2024,"

NOT AN ANGEL",60,2506,1,2024-10-01T10:36:15.546125Z,5396,0.757,Normal,2024-10-01T10:36:15.547130Z
24/11/2024,"
Excuse me? LET TEMS BREATHE",61,2507,1,2024-10-01T10:36:20.489787Z,5397,0.877,Normal,2024-10-01T10:36:20.489787Z
21/11/2024,"
So??…. Ready for new music?",62,2508,1,2024-10-01T10:36:25.162305Z,5398,0.806,Normal,2024-10-01T10:36:25.162305Z
21/11/2024,"
Burberry gyalll ?????????",63,2509,1,2024-10-01T10:36:31.040046Z,5399,1.757,Normal,2024-10-01T10:36:31.040046Z
20/11/2024,"
Hm I’m going offff once this LP is out.",64,2510,1,2024-10-01T10:36:41.810891Z,5400,4.863,Normal,2024-10-01T10:36:41.810891Z
20/11/2024,"
I’m a maniac who loves peace of mind.",65,2511,1,2024-10-01T10:36:46.742291Z,5401,2.843,Normal,2024-10-01T10:36:52.358277Z
18/11/2024,"
I want to say my mind, but you always take me so seriously.",66,2512,1,2024-10-01T10:36:56.901098Z,5402,0.941,Normal,2024-10-01T10:36:56.901098Z
10/11/2024,"

Omo see baby fat!",67,2513,1,2024-10-01T10:37:02.132225Z,5403,1.27,Normal,2024-10-01T10:37:02.132225Z
10/11/2024,"
Seeing these girlies win is actually everything because they work so hard and they believed! I’m so happy and proud rn, a huge congratulations 
So well deserved. More is coming!! 
@ayrastarr

@Tyllaaaaaaa",68,2514,1,2024-10-01T10:37:08.634588Z,5404,1.903,Normal,2024-10-01T10:37:08.634588Z
10/11/2024,"
What is sleep atp",69,2515,1,2024-10-01T10:37:15.040896Z,5405,0.969,Normal,2024-10-01T10:37:15.040896Z
10/11/2024,"
Changed our lives forever. His healing power and His saving grace. They don’t know but be acting like they do.
I can’t keep quiet about it!!",70,2516,1,2024-10-01T10:37:23.872832Z,5406,3.944,Normal,2024-10-01T10:37:23.872832Z
07/11/2024,"
Face your front Era?",71,2517,1,2024-10-01T10:37:27.981903Z,5407,0.796,Offensive,2024-10-01T10:37:27.981903Z
23/10/2024,"
Cheeeiii???????? nahh this my dream girl!! How can I find herrrrr ????????",72,2518,1,2024-10-01T10:37:36.094602Z,5408,3.476,Normal,2024-10-01T10:37:36.094602Z
13/06/2016,"
Bad belle is an evil spirit",73,2519,1,2024-10-01T10:37:40.770543Z,5409,1.321,Offensive,2024-10-01T10:37:40.770543Z
15/06/2016,"
Never Doubt God. Never doubt yourself. You can doubt anything else",74,2520,1,2024-10-01T10:37:49.519147Z,5410,3.988,Normal,2024-10-01T10:37:49.519147Z
29/06/2016,"
Whenever you think about the amazing friends you have. Just remember. That's God. Thank Him. He blessed your life with them on purpose.",75,2521,1,2024-10-01T10:37:55.376755Z,5411,1.582,Normal,2024-10-01T10:37:55.377757Z
16/10/2017,"
'God will keep exposing you to difficult situations because He knows it's the only way your faith will grow'",76,2522,1,2024-10-01T10:38:05.281533Z,5412,5.689,Normal,2024-10-01T10:38:05.281533Z
19/10/2017,"
God shows you in many ways, that what you think is so important, really isn’t and what you might think isnt, truly is.",77,2523,1,2024-10-01T10:38:22.261393Z,5413,13.494,Normal,2024-10-01T10:38:22.261393Z
19/10/2017,"

It’s not you win some you lose some, it’s you win one you lose everything else, only the strong survive the constant beat down that is life",78,2524,1,2024-10-01T10:38:40.922736Z,5414,12.684,Normal,2024-10-01T10:38:40.922736Z
22/02/2018,"Feb 22, 2018
Through honour and dishonour, slander and praise. We are treated as impostors, and yet are true; As unknown and yet well known, as dying and behold we live. As punished and yet, not killed.",79,2525,1,2024-10-01T10:39:21.945243Z,5415,37.053,Normal,2024-10-01T10:39:21.945243Z
07/05/2018,"May 7, 2018 
The Word of God is the guide.",80,2526,1,2024-10-01T10:39:25.658511Z,5416,0.61,Normal,2024-10-01T10:39:25.658511Z
03/05/2018,"
How do you break out of liking your own company and spending time with yourself",81,2527,1,2024-10-01T10:39:29.735652Z,5417,1.001,Normal,2024-10-01T10:39:29.735652Z
25/04/2018,"
God is so amazing, it’s marvellous to look back and realise there’s nothing I’ve needed that God hasn’t provided, even when I thought I wouldn’t make it, I did. There’s absolutely no reason to doubt, when God is behind you, believe it, There’s nothing in life that you CANT do.",82,2528,1,2024-10-01T10:39:35.580735Z,5418,1.422,Normal,2024-10-01T10:39:35.580735Z
03/05/2018,"
Anytime someone asks how I stay alone almost always, I don’t really think it’s such a big deal. And then one day I speak to some person and I feel like the loneliest girl in life. And I realise how much I’ve missed, with my friends, my family, my relationships",83,2529,1,2024-10-01T10:39:44.138099Z,5419,4.482,Normal,2024-10-01T10:39:44.138099Z
05/07/2018,"
The Word of God is the guide.",84,2530,1,2024-10-01T10:39:48.214939Z,5420,0.652,Normal,2024-10-01T10:39:48.215940Z
08/08/2018,People are so quick to tell everyone else what they need.,85,2531,1,2024-10-01T10:39:52.240479Z,5421,0.888,Normal,2024-10-01T10:39:52.240479Z
08/08/2018,"
It’s never too late to be Great.",86,2532,1,2024-10-01T10:39:56.178967Z,5422,0.867,Normal,2024-10-01T10:39:56.178967Z
09/08/2018,"
With no food in my stomach ??",87,2533,1,2024-10-01T10:40:00.596035Z,5423,0.709,Normal,2024-10-01T10:40:00.596035Z
"29/8/2018
","
The end of a matter is better than its beginning, and patience is better than pride.",88,2534,1,2024-10-01T10:40:04.159594Z,5424,0.655,Normal,2024-10-01T10:40:04.159594Z
"29/8/2018
","
Wisdom is a shelter as money is a shelter, but the advantage of knowledge is this: Wisdom preserves those who have it.",89,2535,1,2024-10-01T10:40:09.315924Z,5425,1.418,Normal,2024-10-01T10:40:09.315924Z
12/01/2019,"
Thank God for my life, I have nothing to worry about. Fear is an illusion.",90,2536,1,2024-10-01T10:40:13.719794Z,5426,1.008,Normal,2024-10-01T10:40:13.719794Z
26/01/2019,"
I’m just waiting to be 30 on paper but I’ve been there for a while now.",91,2537,1,2024-10-01T10:40:21.740238Z,5427,1.559,Normal,2024-10-01T10:40:21.740238Z
01/02/2019,"

I promise you even if I went to hide under a rock, trouble must find a way to crawl under there to be looking at me",92,2538,1,2024-10-01T10:40:31.157083Z,5428,3.649,Normal,2024-10-01T10:40:31.157083Z
17/02/2019,"
They say they care so much but do so little and expect so much.",93,2539,1,2024-10-01T10:40:35.952662Z,5429,1.201,Normal,2024-10-01T10:40:35.952662Z
30/04/2019,"
I’m already flying, don’t watch me, join me.",94,2540,1,2024-10-01T10:40:40.426806Z,5430,1.2,Normal,2024-10-01T10:40:40.426806Z
09/07/2017,"

I danced so carelessly for the first time in my life yesterday.
Fortunately the witnesses at scene decided not to press charges ??",95,2541,1,2024-10-01T10:40:47.670102Z,5431,1.875,Normal,2024-10-01T10:40:47.670102Z
02/08/2019,"
Being greatly misunderstood is part of the price you pay, and there not much you can do about it except be yourself, do your thing.",96,2542,1,2024-10-01T10:40:52.879442Z,5432,1.868,Normal,2024-10-01T10:40:52.879442Z
15/10/2023,"
Only me baybee???",97,2543,1,2024-10-01T10:40:56.858669Z,5433,0.725,Normal,2024-10-01T10:40:56.859637Z
15/10/2023,"
Only me baybee???",98,2544,1,2024-10-01T10:41:00.362004Z,5434,0.711,Normal,2024-10-01T10:41:00.362004Z
15/10/2023,"
Thank you Promiseland! ????",99,2545,1,2024-10-01T10:41:03.940094Z,5435,0.732,Normal,2024-10-01T10:41:03.940094Z
30/09/2023,"
Don’t get it twisted that’s all??????",100,2546,1,2024-10-01T10:41:08.219442Z,5436,1.368,Normal,2024-10-01T10:41:08.219442Z
30/09/2023,"Actually it’s about Jesus Christ teaching me how to walk on water, to trust Him and not in human understanding. 
He changed my life. And if you seek Him He will fill you up too. 
He is the Lord of Lords. 
The word of God, made flesh 
I am His sheep. He is my Shepherd. 
And I have been forever transformed. 
I am His forever. THATS JUST ME DOE",101,2547,1,2024-10-01T10:41:11.854705Z,5437,0.669,Normal,2024-10-01T10:41:11.854705Z
30/09/2023,"
Nothing like learning to trust God’s way.",102,2548,1,2024-10-01T10:41:19.388546Z,5438,3.638,Normal,2024-10-01T10:41:19.388546Z
27/09/2023,"
Moments like these??????",103,2549,1,2024-10-01T10:41:22.987596Z,5439,4.619,Normal,2024-10-01T10:41:28.978100Z
27/09/2023,"
Feeling like a Damond!!??
Love you so much Sydney! ??????????",104,2550,1,2024-10-01T10:41:33.081576Z,5440,1.104,Normal,2024-10-01T10:41:33.081576Z
25/09/2023,"
Three years ago today, I released my first EP. One that truly transformed my life. I’m so happy to launch ‘For Broken Ears’ Vinyl bundle on http://leadingvibe.com. Thank you for all your enormous love??",105,2551,1,2024-10-01T10:41:39.860642Z,5441,3.406,Normal,2024-10-01T10:41:39.860642Z
25/09/2023,"
Till next time my amazing SA!! ??????????",106,2552,1,2024-10-01T10:41:45.834461Z,5442,2.709,Normal,2024-10-01T10:41:45.834461Z
21/09/2023,"
Y’all are dumb I swear",107,2553,1,2024-10-01T10:41:50.316059Z,5443,1.537,Offensive,2024-10-01T10:41:50.316059Z
22/09/2023,"
Lmao bruh what the hell is going on in this place",108,2554,1,2024-10-01T10:41:53.906809Z,5444,0.603,Offensive,2024-10-01T10:41:53.906809Z
22/09/2023,"
RIP Mohbad, you WILL get the justice you deserve ??",109,2555,1,2024-10-01T10:41:57.704057Z,5445,0.81,Normal,2024-10-01T10:41:57.704057Z
22/09/2023,"
In conclusion, you people are all mad!!!",110,2556,1,2024-10-01T10:42:01.615340Z,5446,0.664,Offensive,2024-10-01T10:42:01.615340Z
01/09/2023,"
Month of victory ??? #CoverGirl 
Thank you 
@ELLEUK
??",111,2557,1,2024-10-01T10:42:05.659724Z,5447,0.791,Normal,2024-10-01T10:42:05.659724Z
29/08/2023,"
FAKE NEWS!!!! Y’all are smelling fr, agenda must agend Eyama!!",112,2558,1,2024-10-01T10:42:09.928349Z,5448,1.026,Offensive,2024-10-01T10:42:09.928349Z
11/06/2023,"
So Grateful to the Lord for my life and for all my loved ones and my amazing rebel gang. 
Thank youuu????????????????????????????????",113,2559,1,2024-10-01T10:42:17.065829Z,5449,3.863,Normal,2024-10-01T10:42:17.065829Z
11/06/2023,"
Thank you for being an amazing Brother and friend, it’s for lifeee??????",114,2560,1,2024-10-01T10:42:20.627410Z,5450,0.722,Normal,2024-10-01T10:42:20.627410Z
10/06/2023,"
Before September??",115,2561,1,2024-10-01T10:42:24.627852Z,5451,0.668,Normal,2024-10-01T10:42:24.628861Z
05/06/2023,"
Where’s the album?!????",116,2562,1,2024-10-01T10:42:28.576259Z,5452,0.933,Normal,2024-10-01T10:42:28.576259Z
05/06/2023,"Thank you for being an amazing Brother and friend, it’s for lifeee??????",117,2563,1,2024-10-01T10:42:33.970079Z,5453,2.198,Normal,2024-10-01T10:42:33.970079Z
11/06/2023,"
Thank you for being an amazing Brother and friend, it’s for lifeee??????",118,2564,1,2024-10-01T10:42:38.201055Z,5454,1.069,Normal,2024-10-01T10:42:38.201055Z
10/06/2023,"
Before September??",119,2565,1,2024-10-01T10:42:43.693739Z,5455,1.304,Normal,2024-10-01T10:42:43.693739Z
13/03/2023,"

Oops.??",120,2566,1,2024-10-01T10:42:50.484337Z,5456,2.967,Indeterminate,2024-10-01T10:42:50.484337Z
14/02/2023,"
Happy Valentine’s Day baby!?????????",121,2567,1,2024-10-01T10:42:54.223884Z,5457,0.656,Normal,2024-10-01T10:42:54.223884Z
